N,"dijkstra time, ms","BSF time, ms"
3,194.4043600000441,10.014700000465382
4,0.05124000017531216,0.09470000077271834
5,0.09003000013763085,0.10076999897137284
6,0.16663999995216727,0.15210999990813434
7,0.2796199987642467,0.20564000005833805
8,0.5986800009850413,0.2749400009633973
9,0.9330999993835576,0.5655400003888644
10,0.8952299991506152,0.5989600002067164
11,1.3391599990427494,0.5928799990215339
12,1.8106899995473213,0.8208700004615821
13,2.358019999519456,1.2126500005251728
14,3.50897000025725,1.057930001115892
15,3.973650000989437,1.2322700000368059
16,5.407300000661053,1.3854800010449253
17,6.745770000270568,1.6373500009649433
18,8.22790999955032,1.7506300006061792
19,10.653119999915361,2.3463199991965666
20,11.898289999226108,2.4152600002707914
21,15.51632999908179,2.523030000156723
22,18.21227999898838,2.767140000651125
23,21.08278999949107,3.161230000841897
24,26.9403099999181,3.294340000138618
25,28.890990000218153,3.7186000001383945
26,33.84111000050325,3.9103800008888356
27,39.60635999974329,4.126430000178516
28,44.420339999487624,4.639400000451133
29,53.34992999996757,5.1033099996857345
30,59.30926000000909,6.516269998974167
31,71.20108999952208,6.324299999687355
32,81.96078000037232,6.288389999826904
33,89.14619999995921,6.873039998754393
34,99.22536999947624,7.240200000524055
35,116.16387999965809,10.8436199996504
36,123.43715000024531,7.9507300004479475
37,137.5385899998946,8.350330000394024
38,155.41235999990022,9.198139999352861
39,177.30682999972487,9.659800000372343
40,197.39780999952927,9.898619999876246
41,211.23148999904515,11.144389999390114
42,252.64568999991752,12.741210000240244
43,263.9301599992905,11.58622000075411
44,283.27046999911545,12.857349999831058
45,305.5693900008919,13.021089999529067
46,339.8082900006557,14.217559999087825
47,364.9190299998736,15.184379999118391
48,406.49487000046065,15.03987999894889
49,426.1306300002616,15.727509999123868
50,468.8095300007262,16.37673000077484
51,521.5522400001646,16.913470000145026
52,568.238779999956,18.259329999273177
53,591.148370000883,18.958209999254905
54,667.3233499997878,20.182760000170674
55,665.0274999992689,22.042169999622274
56,792.6758100002189,24.535529999411665
57,793.9122199997655,23.94720000011148
58,868.3140799999819,23.247869999613613
59,927.5740900004166,23.613160000240896
60,988.2362700009253,24.98765999916941
61,1063.4291700000176,25.647079999907874
62,1159.9771399996825,27.209849999053404
63,1189.0977499992005,28.336159999889787
64,1298.706420000235,29.145479999715462
65,1330.9985800005961,29.721459999564104
66,1515.9149499988416,30.95935000019381
67,1583.895219999249,31.547929999942426
68,1458.5719299997436,33.25891000131378
69,2383.1070300002466,48.65888999920571
70,2680.7289699994726,54.26808000047458
71,2351.980170000752,43.46514999924693
72,2600.1026099998853,49.85460000025341
73,2605.143570000655,53.41132000030484
74,2698.185549999471,56.91701999894576
75,3078.829100000439,56.16589999990538
76,3430.59082999971,55.86764000036055
77,3305.5436499998905,57.07500999997137
78,3018.72915999993,47.94068000046536
79,2768.647809998947,48.684150000917725
