N,"dijkstra time, ms","BSF time, ms","DSF time, ms"
3,1026.3428399979603,34.166360000381246,31.346360000316054
4,1.200840005185455,0.14249999658204615,0.1701399974990636
5,2.513999998336658,0.37991999997757375,0.2987199986819178
6,3.4390599990729243,0.9065399994142354,0.40328000322915614
7,2.961860003415495,0.573240005178377,0.5229000002145767
8,3.3642399997916073,0.8774999994784594,1.0345000016968697
9,4.017779999412596,0.8507199992891401,1.4545199985150248
10,4.204239998944104,0.9451600024476647,2.316039998549968
11,5.959220003569499,1.6539399977773428,1.634199998807162
12,6.986359995789826,2.0018399984110147,1.1362200020812452
13,8.134900004370138,1.4639200002420694,1.867259998107329
14,10.859600000549108,3.3812600013334304,3.732320002745837
15,12.43232000269927,2.5198200019076467,2.3956999997608364
16,13.594340003328398,3.77277999650687,2.6156999985687435
17,14.900500001385808,3.143979999003932,3.0580999969970435
18,20.14004000229761,3.7175600009504706,3.2293600030243397
19,26.495579996844754,5.516499996883795,5.649039999116212
20,29.51623999979347,4.0409000008367,4.7677199996542186
21,41.13984000287019,5.424460000358522,4.661200003465638
22,43.8772399968002,7.1316199959255755,6.821340002352372
23,46.707620000233874,5.8587800012901425,6.140659999800846
24,55.085920001147315,6.7380999971646816,6.226760003482923
25,66.67768000042997,9.497299999929965,6.901019997894764
26,70.12362000532448,9.189260000130162,9.94838000042364
27,94.96092000044882,10.66008000052534,22.557760000927374
28,109.37239999766462,9.427279996452853,10.534040001221001
29,128.7006400001701,13.697280001360923,10.121940000681207
30,149.15864000213332,12.016960000619292,10.870439995778725
31,151.63097999757156,13.982179999584332,10.803439997835085
32,181.65478000300936,13.524119998328388,10.807740001473576
33,204.64056000346318,16.011180001078174,11.656460002996027
34,211.81068000150844,14.331899996614084,16.773760004434735
35,242.9569200030528,14.834199997130781,14.667320001171902
36,254.27660000277683,14.860160002717748,15.854340000078082
37,319.0591000020504,17.327780002960935,20.06058000260964
38,320.244060002733,17.809439997654408,20.22237999481149
39,444.0491999965161,18.404339998960495,21.348460001172498
40,409.9427600041963,20.639280002797022,24.135859997477382
41,446.3374999992084,31.721899996045977,23.215780005557463
42,489.48747999966145,22.343639994505793,34.13983999635093
43,540.7427400001325,22.504300001310185,23.35068000247702
44,574.8626599961426,28.623999998671934,24.451759998919442
45,611.7019199999049,32.33819999732077,42.03745999839157
46,774.0360600000713,29.416459996718913,26.34537999983877
47,748.303639999358,39.9741199973505,28.77650000154972
48,877.7377999969758,33.93999999971129,30.613939999602735
49,902.9363200010266,31.475860002683476,30.30247999704443
50,986.6562800016254,32.544020004570484,30.084280000301078
51,1067.9554800037295,37.83566000056453,31.627140002092347
52,1150.2070800052024,39.41596000222489,33.39734000037424
53,1189.790019998327,40.127959998790175,34.29284000303596
54,1373.986239999067,60.43057999922894,53.18855999503285
55,1356.6203200025484,44.00564000243321,38.10871999594383
56,1795.8210200013127,42.19429999939166,37.48001999920234
57,1618.169639998814,47.1657200017944,41.53619999997318
58,1787.1223399997689,42.82538000261411,47.6100200030487
59,1877.0788000023458,47.3558800003957,43.274019996169955
60,2195.5103199987207,53.21659999899566,47.12671999586746
61,2128.1043599999975,51.25152000109665,48.59491999959573
62,2362.445200001821,54.83477999805473,50.60172000085004
63,2337.9900800006,85.46522000106052,94.21558000030927
64,2656.8047999986447,75.78824000083841,77.85921999602579
65,2839.4317400001455,59.10349999903701,58.27504000044428
66,3026.6844199970365,64.17676000273786,65.241319994675
67,3207.495859998744,64.38588000019081,60.98930000443943
68,3381.0614600020926,70.27387999696657,59.6724400005769
69,3431.704140000511,71.99345999979414,65.18278000294231
