"[2, 0, 2, 0, 3596, 3596]","[2, 0, 0]","[0, 0, 2733]"
"[2, 0, 2, 3009]","[2, 0, 2507]","[0, 1939]"
"[2, 2, 2824]","[2, 1100]",[0]
